,SqFootage,ProjType,Rooms,AppType,ProjName,Category,CreYear,LastYear,BOZA,PC,LDT,DRC,Units
50,8838,contractor,0,ZONE,Bishop Business Center,industrial,2018,2018,No decision,No decision,No decision,No decision,0
51,0,single-family,0,ZONE,Meadow Pointe,single family,2018,2018,No decision,Approved,Sent to PC,No decision,0
52,0,multi-family,0,ZONE,Clover Senior Housing,multi family,2018,2018,No decision,Approved,Sent to PC,No decision,120
53,1800,convenience store,0,ZONE,6004 Lower Hunters Trace,commercial,2018,2018,No decision,No decision,No decision,No decision,0
54,12000,storage,0,ZONE,Ace Hardware Extension,industrial,2018,2018,No decision,No decision,No decision,No decision,0
55,2925,auto services,0,ZONE,CDJR of Louisville,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
56,18930,medical,0,ZONE,Bridgehaven Expansion,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
57,14610,retail,0,ZONE,GHASEM FACTORY LANE,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
58,15485,office,0,ZONE,GHASEM FACTORY LANE,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
59,4346,retail,0,ZONE,841 E Washington St.,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
60,3175,banking,0,ZONE,7710 Bardstown Rd.,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
61,8735,auto services,0,ZONE,7710 Bardstown Rd.,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
62,7800,retail,0,ZONE,7710 Bardstown Rd.,commercial,2018,2018,No decision,No decision,Sent to PC,No decision,0
63,2932,office,0,ZONE,1137 Mulberry St.,commercial,2018,2018,No decision,No decision,No decision,No decision,0
64,0,multi-family,0,ZONE,1137 Mulberry St.,multi family,2018,2018,No decision,No decision,No decision,No decision,3
65,1800,auto services,0,ZONE,4141 Bardstown Rd,commercial,2018,2018,No decision,No decision,No decision,No decision,0
66,18000,warehouse,0,ZONE,Bluegrass Lawn and Garden,industrial,2018,2018,No decision,Approved,Sent to PC,No decision,0
67,22099,recreation,0,ZONE,Top Golf 7900 Shelbyville Rd,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
68,12000,auto services,0,ZONE,4530 Kerrick Lane,commercial,2018,2018,No decision,Approved,Sent to PC,No decision,0
69,0,single-family,0,ZONE,7905 Smyrna Pkwy Subdivision,single family,2018,2018,No decision,Approved,Sent to PC,No decision,0
70,0,multi-family,0,ZONE,6110 Goalby Drive,multi family,2018,2018,No decision,Approved,Sent to PC,No decision,221
71,0,single-family,0,ZONE,6707 Shaffer Lane,single family,2018,2018,No decision,Approved,Sent to PC,No decision,0
72,0,multi-family,0,ZONE,3930 Massie Ave,multi family,2018,2018,No decision,Approved,Sent to PC,No decision,23
73,0,multi-family,0,ZONE,Mill Creek Condos,multi family,2018,2018,No decision,No decision,No decision,No decision,32
74,2000,office,0,ZONE,Old Henry Rd,commercial,2018,2018,No decision,No decision,No decision,No decision,0
75,29475,warehouse,0,ZONE,Old Henry Rd,industrial,2018,2018,No decision,No decision,No decision,No decision,0
76,900,auto services,0,ZONE,2410 Lindbergh Dr,commercial,2018,2018,No decision,No decision,No decision,No decision,0
77,0,multi-family,0,ZONE,3620 Charlane Pwy,multi family,2018,2018,No decision,Approved,Sent to PC,No decision,72
78,943,commercial,0,SITEPLAN,1819Plantside Landscape Waiver,commercial,2018,2018,No decision,No decision,No decision,Approved,0
79,1634,commercial,0,SITEPLAN,814 Cherokee Addition,commercial,2018,2018,No decision,No decision,No decision,No decision,0
80,800,office,0,SITEPLAN,2008 Blankenbaker Rd.,commercial,2018,2018,No decision,No decision,No decision,Approved,0
81,21890,warehouse,0,SITEPLAN,2008 Blankenbaker Rd.,industrial,2018,2018,No decision,No decision,No decision,Approved,0
82,10700,office,0,SITEPLAN,Copper Chase Business Park,commercial,2018,2018,No decision,No decision,No decision,Approved,0
83,24000,warehouse,0,SITEPLAN,Copper Chase Business Park,industrial,2018,2018,No decision,No decision,No decision,Approved,0
84,28200,warehouse,0,SITEPLAN,Apel International Addition,industrial,2018,2018,No decision,No decision,No decision,Approved,0
85,8849,medical,0,SITEPLAN,1725 Gagel Ave,commercial,2018,2018,No decision,No decision,Approved,No decision,0
86,9075,recreation,0,SITEPLAN,INDOOR SOCCER FACILITY,institutional,2018,2018,No decision,No decision,No decision,No decision,0
87,5000,warehouse,0,SITEPLAN,4720 WALNUT GROVE AVE,industrial,2018,2018,No decision,No decision,No decision,No decision,0
88,15772,museum,0,SITEPLAN,Derby Museum,institutional,2018,2018,Approved,No decision,No decision,No decision,0
89,2964,retail,0,SITEPLAN,10600 Shelbyville Rd,commercial,2018,2018,No decision,No decision,No decision,No decision,0
90,0,single-family,0,SUBDIV,The Woods of Farnsley Moorman,single family,2018,2018,No decision,No decision,No decision,No decision,0
91,0,single-family,0,SUBDIV,Dobson Lane Subdivision,single family,2018,2018,No decision,No decision,No decision,No decision,0
92,0,single-family,0,SUBDIV,Balance Transfer Subdivision,single family,2018,2018,No decision,No decision,No decision,No decision,0
93,0,single-family,0,SUBDIV,Echo Trail Subdivision,single family,2018,2018,No decision,No decision,No decision,No decision,0
94,0,single-family,0,SUBDIV,Indian Trail Subivision,single family,2018,2018,No decision,No decision,No decision,No decision,0
95,0,single-family,0,SUBDIV,Pulte-Tamarack Grove,single family,2018,2018,No decision,Approved,No decision,No decision,0
96,0,single-family,0,SUBDIV,Club Hill Dive,single family,2018,2018,No decision,Approved,No decision,No decision,0
97,0,single-family,0,SUBDIV,The Woods of Brookshire,single family,2018,2018,No decision,No decision,No decision,No decision,0
98,0,single-family,0,SUBDIV,Twin Takes at Floyds Fork II,single family,2018,2018,No decision,No decision,Approved,No decision,0
99,0,single-family,0,SUBDIV,Cedar Creek Subdivsion,single family,2018,2018,No decision,Approved,No decision,No decision,0
100,0,single-family,0,SUBDIV,Catalpa Farms Subdivsion,single family,2018,2018,No decision,No decision,Approved,No decision,0
101,0,single-family,0,SUBDIV,Woods of Penn Run Section 3,single family,2018,2018,No decision,No decision,No decision,No decision,0
102,0,single-family,0,SUBDIV,"Cedar Brook, Section 4",single family,2018,2018,No decision,Approved,No decision,No decision,0
103,0,single-family,0,SUBDIV,Ashbrooke Gardens,single family,2018,2018,No decision,No decision,No decision,No decision,0
104,0,single-family,0,SUBDIV,Ferndale Place,single family,2018,2018,No decision,No decision,Approved,No decision,0
105,0,single-family,0,SUBDIV,Fincastle Farms,single family,2018,2018,No decision,No decision,No decision,No decision,0
106,0,single-family,0,SUBDIV,Oak Pointe,single family,2018,2018,No decision,Approved,No decision,No decision,0
107,0,single-family,0,SUBDIV,The Woods at Landherr,single family,2018,2018,No decision,No decision,Approved,No decision,0
108,0,single-family,0,SUBDIV,Shakes Run,single family,2018,2018,No decision,No decision,No decision,Approved,0
109,0,single-family,0,SUBDIV,Hearthstone Meadows,single family,2018,2018,No decision,No decision,Approved,No decision,0
110,0,single-family,0,SUBDIV,Wetherly Springs,single family,2018,2018,No decision,No decision,Approved,No decision,0
111,0,Zoned,0,SUBDIV,Ramada Hotel - Bluegrass Pky,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
112,0,Zoned,0,SUBDIV,18001 Shelbyville Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
113,0,Zoned,0,SUBDIV,Terra Crossing Blvd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
114,0,Zoned,0,SUBDIV,Taylorsville Rd Minor Plat,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
115,0,Zoned,0,SUBDIV,Jeffersonville Propco LLC,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
116,0,Zoned,0,SUBDIV,Louisville Metro Park/Osbourne,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
117,0,Zoned,0,SUBDIV,9070 Dixie Hwy,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
118,0,Zoned,0,SUBDIV,8304 St. Andrews Church Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
119,0,Zoned,0,SUBDIV,Aiken Road Salon,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
120,0,Zoned,0,SUBDIV,Hickory Trace Condos,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
121,0,Zoned,0,SUBDIV,Minor Plat,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
122,0,Zoned,0,SUBDIV,Mouser Hill Minor Plat,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
123,0,Zoned,0,SUBDIV,Minor Plat for Brooks,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
124,0,Zoned,0,SUBDIV,Clearwater Farms Development,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
125,0,Zoned,0,SUBDIV,"Blanding Partners, LLC",minorplat,2018,2018,No decision,No decision,No decision,No decision,0
126,0,Zoned,0,SUBDIV,Dominion Northfield,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
127,0,Zoned,0,SUBDIV,Spaulding Apartments,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
128,0,Zoned,0,SUBDIV,Teachers Credit Union,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
129,0,Zoned,0,SUBDIV,St. Joseph Catholic Orphans,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
130,0,Zoned,0,SUBDIV,4023 Bardstown Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
131,0,Zoned,0,SUBDIV,Minor subdivision plat,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
132,0,Zoned,0,SUBDIV,Glenmary Pointe Apts Lot 1B,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
133,0,Zoned,0,SUBDIV,Courtyards at Curry Farms,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
134,0,Zoned,0,SUBDIV,7813 Beulah Church Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
135,0,Zoned,0,SUBDIV,738 Old Harrods Creek Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
136,0,Zoned,0,SUBDIV,702 Grade Lane,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
137,0,Zoned,0,SUBDIV,1330 Etawah Ave,minorplat,2018,2018,No decision,No decision,No decision,Approved,0
138,0,Zoned,0,SUBDIV,11512 Bardstown Rd- Parklands,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
139,0,Zoned,0,SUBDIV,Hearthstone Meadows,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
140,0,Zoned,0,SUBDIV,10000 Fairmount Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
141,0,Zoned,0,SUBDIV,Standiford Plaza Dr,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
142,0,Zoned,0,SUBDIV,"Riverport Phase 3, Lot 216",minorplat,2018,2018,No decision,No decision,No decision,No decision,0
143,0,Zoned,0,SUBDIV,Galt House East,minorplat,2018,2018,No decision,Approved,No decision,No decision,0
144,0,Zoned,0,SUBDIV,Glenoaks Golf Course II,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
145,0,Zoned,0,SUBDIV,Glenoaks Golf Course,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
146,0,Zoned,0,SUBDIV,"Little Springs Farm, Section 6",minorplat,2018,2018,No decision,No decision,No decision,No decision,0
147,0,Zoned,0,SUBDIV,"Blanding Partners, LLC",minorplat,2018,2018,No decision,No decision,No decision,No decision,0
148,0,Zoned,0,SUBDIV,Best Western,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
149,0,Zoned,0,SUBDIV,Sherrin Ave Sanitary Sewers,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
150,0,Zoned,0,SUBDIV,Brentlinger,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
151,0,Zoned,0,SUBDIV,13508 Factory Lane,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
152,0,Zoned,0,SUBDIV,4600 S 2nd St- Bellsouth,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
153,0,Zoned,0,SUBDIV,Norton Commons Lot 38,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
154,0,Zoned,0,SUBDIV,17500 Turtle Creek Trail,minorplat,2018,2018,No decision,No decision,No decision,Approved,0
155,0,Zoned,0,SUBDIV,1000 Glengarry Drive,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
156,0,Zoned,0,SUBDIV,2501 Rowan St,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
157,0,Zoned,0,SUBDIV,<Null>,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
158,0,Zoned,0,SUBDIV,5603 Outer Loop,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
159,0,Zoned,0,SUBDIV,Eastpoint Office Bldg,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
160,0,Zoned,0,SUBDIV,Southpoint Business Center,minorplat,2018,2018,No decision,No decision,No decision,Approved,0
161,0,Zoned,0,SUBDIV,Norton Commons Lot 488,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
162,0,Zoned,0,SUBDIV,1279/1283 Bardstown Road,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
163,0,Zoned,0,SUBDIV,4500 S Hurstbourne Pky,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
164,0,Zoned,0,SUBDIV,6213 Shephersville Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
165,0,Zoned,0,SUBDIV,Creekside Terrace Lot 2,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
166,0,Zoned,0,SUBDIV,6506 Shaffer Ln,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
167,0,Zoned,0,SUBDIV,9409 Shelbyville Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
168,0,Zoned,0,SUBDIV,8909 Old South Park Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
169,0,Zoned,0,SUBDIV,2400 Lower Hunters Trace,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
170,0,Zoned,0,SUBDIV,2944 Breckenridge Lane,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
171,0,Zoned,0,SUBDIV,101 Whittington Pkwy,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
172,0,Zoned,0,SUBDIV,4650 Routt Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
173,0,Zoned,0,SUBDIV,4856 Cane Run Rd.,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
174,0,Zoned,0,SUBDIV,WILLIAM DRURY MINOR SUB PLAT,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
175,0,Zoned,0,SUBDIV,1800 W Broadway,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
176,0,Zoned,0,SUBDIV,10315 Watterson Trail,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
177,0,Zoned,0,SUBDIV,4803 Olympia Park Plz,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
178,0,Zoned,0,SUBDIV,528 E Liberty St,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
179,0,Zoned,0,SUBDIV,4600 Jennings Lane,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
180,0,Zoned,0,SUBDIV,6901 Sky Blue Avenue,minorplat,2018,2018,No decision,No decision,No decision,Approved,0
181,0,Zoned,0,SUBDIV,JASON BLACK,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
182,0,Zoned,0,SUBDIV,934 E Madison St,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
183,0,Zoned,0,SUBDIV,10930 Electron Dr.,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
184,0,Zoned,0,SUBDIV,12519 Lilly Ln,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
185,0,Zoned,0,SUBDIV,Louisville City FC Stadium,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
186,0,Zoned,0,SUBDIV,17558 Aiken Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
187,0,Zoned,0,SUBDIV,11300 Westport Rd,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
188,0,Zoned,0,SUBDIV,14904 Bush Farm Rd.,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
189,0,Zoned,0,SUBDIV,601 Tucker Station Rd.,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
190,0,Zoned,0,SUBDIV,Kenwood Business Center,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
191,0,Zoned,0,SUBDIV,Schuhmann-Blankenbaker,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
192,0,Zoned,0,SUBDIV,Lawson Property,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
193,0,Zoned,0,SUBDIV,Oak Point,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
194,0,Zoned,0,SUBDIV,10014 Jefferson Trail,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
195,0,Zoned,0,SUBDIV,2419 Irish Bend Ct.,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
196,0,Zoned,0,SUBDIV,8108 National Turnpike,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
197,0,Zoned,0,SUBDIV,637 E Burnett Ave,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
198,0,Zoned,0,SUBDIV,Thornton's Goldsmith Lane,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
199,0,Zoned,0,SUBDIV,Dry Ridge Rd,minorplat,2018,2018,No decision,No decision,No decision,Approved,0
200,0,Zoned,0,SUBDIV,Wetherly Springs,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
201,0,Zoned,0,SUBDIV,York Towers 201 York St,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
202,0,Zoned,0,SUBDIV,9801 Cedar Creek Rd,minorplat,2018,2018,No decision,No decision,No decision,Approved,0
203,0,Zoned,0,SUBDIV,1005 ALTA VISTA ROAD,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
204,0,Zoned,0,SUBDIV,6900 Old Fegenbush Lane,minorplat,2018,2018,No decision,No decision,No decision,No decision,0
205,106,restaurant,0,SITEPLAN,Dunkin - Landscape,commercial,2018,2018,No decision,No decision,No decision,No decision,0
206,10066,auto services,0,SITEPLAN,Oxmoor Collision Center,commercial,2018,2018,No decision,No decision,No decision,No decision,0
207,8300,office,0,SITEPLAN,Copper Chase Business Park,commercial,2018,2018,No decision,No decision,No decision,No decision,0
208,6000,warehouse,0,SITEPLAN,Copper Chase Business Park,industrial,2018,2018,No decision,No decision,No decision,No decision,0
209,10800,warehouse,0,SITEPLAN,HB Molding Warehouse,industrial,2018,2018,No decision,No decision,No decision,No decision,0
210,1920,industrial,0,SITEPLAN,EnviroSafe Building Expansion,industrial,2018,2018,No decision,No decision,No decision,No decision,0
211,1896,restaurant,0,SITEPLAN,Church's Chicken,commercial,2018,2018,No decision,No decision,No decision,No decision,0
212,546,medical,0,SITEPLAN,Pearl Medical Care Center,commercial,2018,2018,No decision,No decision,No decision,No decision,0
213,603,restaurant,0,SITEPLAN,The Pine Room,commercial,2018,2018,No decision,No decision,No decision,No decision,0
214,856,private club,0,SITEPLAN,406 Wickfield Dr.,commercial,2018,2018,No decision,No decision,No decision,No decision,0
215,1200,office,0,SITEPLAN,RDDP,commercial,2018,2018,No decision,No decision,No decision,No decision,0
216,86836,mini-warehouse,0,SITEPLAN,RDDP,commercial,2018,2018,No decision,No decision,No decision,No decision,0
217,3740,office,0,SITEPLAN,Hughes & Coleman Category 2B,commercial,2018,2018,No decision,No decision,No decision,No decision,0
218,13960,restaurant,0,SITEPLAN,Goodfellas Pizzeria,commercial,2018,2018,No decision,No decision,No decision,No decision,0
219,5012,warehouse,0,SITEPLAN,Hi-Float Building Expansion,industrial,2018,2018,No decision,No decision,No decision,No decision,0
220,350,restaurant,0,SITEPLAN,Stony Brook Village,commercial,2018,2018,No decision,No decision,No decision,No decision,0
221,15000,industrial,0,SITEPLAN,Category 2B- Brenntag,industrial,2018,2018,No decision,No decision,No decision,No decision,0
222,8004,veternary,0,SITEPLAN,Veterinary Clinic,commercial,2018,2018,No decision,No decision,No decision,No decision,0
223,16080,auto services,0,SITEPLAN,Air Commerce Truck Sales,commercial,2018,2018,No decision,No decision,No decision,No decision,0
224,4770,convenience store,0,SITEPLAN,MAPCO/Ellingsworth,commercial,2018,2018,No decision,No decision,No decision,No decision,0
225,16500,retail,0,SITEPLAN,MAPCO/Ellingsworth,commercial,2018,2018,No decision,No decision,No decision,No decision,0
226,1792,office,0,SITEPLAN,Stor-All,commercial,2018,2018,No decision,No decision,No decision,No decision,0
227,133700,mini-warehouse,0,SITEPLAN,Stor-All,commercial,2018,2018,No decision,No decision,No decision,No decision,0
228,4332,restaurant,0,SITEPLAN,First Watch Middletown,commercial,2018,2018,No decision,No decision,No decision,No decision,0
229,96770,recreation,0,SITEPLAN,Elite Sports Facility,institutional,2018,2018,No decision,No decision,No decision,No decision,0
230,3996,auto services,0,SITEPLAN,Zips Express Car Wash,commercial,2018,2018,No decision,No decision,No decision,No decision,0
231,2100,industrial,0,SITEPLAN,Marathon Oil Warehouse,industrial,2018,2018,No decision,No decision,No decision,No decision,0
232,0,single-family,0,SITEPLAN,Woods of Farnsley Moorman,single family,2018,2018,No decision,No decision,No decision,No decision,0
233,10000,office,0,SITEPLAN,Renaissance S. Business Park,commercial,2018,2018,No decision,No decision,No decision,No decision,0
234,342800,warehouse,0,SITEPLAN,Renaissance S. Business Park,industrial,2018,2018,No decision,No decision,No decision,No decision,0
235,1536,medical,0,SITEPLAN,Revised Development Plan,commercial,2018,2018,No decision,No decision,No decision,No decision,0
236,3536,banking,0,SITEPLAN,L&N Federal Credit Union,commercial,2018,2018,No decision,No decision,No decision,No decision,0
237,2400,private club,0,SITEPLAN,Wedding Chapel,commercial,2018,2018,No decision,No decision,No decision,No decision,0
238,29400,warehouse,0,SITEPLAN,Abel Office Warehouse,industrial,2018,2018,No decision,No decision,No decision,No decision,0
239,0,hotel,95,SITEPLAN,Avid Hotel - Blankenbaker Stat,hotel,2018,2018,No decision,No decision,No decision,No decision,0
